acousticness,danceability,energy,id,instrumentalness,liveness,loudness,speechiness,tempo,valence,genre
0.134,0.55,0.491,7qaRUsoBbNX989qYQ3QHY0,0.0,0.124,-9.224,0.462,170.361,0.429,rap
0.134,0.55,0.491,7qaRUsoBbNX989qYQ3QHY0,0.0,0.124,-9.224,0.462,170.361,0.429,pop
0.961,0.652,0.544,7I3zoWH9v5kyOvzGMiuSB9,0.869,0.118,-15.051,0.139,83.999,0.637,rap
0.00122,0.531,0.958,1wgemwdDdxBgq3jWLQ0k2A,0.706,0.942,-4.757,0.373,94.729,0.145,rap
0.00122,0.531,0.958,1wgemwdDdxBgq3jWLQ0k2A,0.706,0.942,-4.757,0.373,94.729,0.145,rock
0.0013,0.945,0.427,27zpJcVSv5KdcSYQFxg2hk,0.0,0.0745,-7.676,0.114,98.991,0.669,rap
0.414,0.72,0.399,24ufV7P15dIUAzMf1fHdJY,0.91,0.109,-13.741,0.0449,140.661,0.812,rap
0.0597,0.854,0.719,2dOwMu4qkeTgutR2fir0SM,0.0434,0.0941,-5.885,0.0533,128.027,0.495,rap
0.000275,0.676,0.548,2DjhCM4AwJjTEgN6rLyqqF,0.0,0.0928,-9.801,0.0675,90.995,0.564,rap
0.000275,0.676,0.548,2DjhCM4AwJjTEgN6rLyqqF,0.0,0.0928,-9.801,0.0675,90.995,0.564,pop
0.11,0.837,0.558,1gFuMh1qjSkqzJfbaEgVRD,0.0,0.372,-12.003,0.324,145.096,0.531,rap
0.982,0.534,0.37,2QVl8Z3UygYw8rOT3A783P,0.923,0.111,-10.739,0.0418,72.979,0.204,rap
0.191,0.444,0.715,1KEcxLBbEMNbr7XpXAZSet,0.0,0.125,-6.052,0.386,68.82,0.516,rap
0.000187,0.477,0.758,0mVGdapt30wjbKR2XZxSTF,0.903,0.341,-4.356,0.112,190.809,0.18,rap
0.00753,0.657,0.672,52SDCM9N4O4VhWImhttpDe,3.28e-05,0.113,-10.919,0.296,177.865,0.826,rap
0.00753,0.657,0.672,52SDCM9N4O4VhWImhttpDe,3.28e-05,0.113,-10.919,0.296,177.865,0.826,pop
0.00753,0.657,0.672,52SDCM9N4O4VhWImhttpDe,3.28e-05,0.113,-10.919,0.296,177.865,0.826,rock
0.00716,0.746,0.576,52UWs7CqnP2v4YO8LpMACQ,0.0,0.181,-9.293,0.143,90.018,0.505,rap
0.00716,0.746,0.576,52UWs7CqnP2v4YO8LpMACQ,0.0,0.181,-9.293,0.143,90.018,0.505,jazz
6.04e-05,0.645,0.516,0uqDGWuVMwwy4PvJ36NVEo,0.737,0.107,-4.846,0.0446,144.988,0.067,rap
0.000755,0.361,0.962,66V0a5N0bLyn6Kw3EKMCr5,0.627,0.442,-5.01,0.165,180.141,0.0446,rap
0.000755,0.361,0.962,66V0a5N0bLyn6Kw3EKMCr5,0.627,0.442,-5.01,0.165,180.141,0.0446,rock
0.267,0.566,0.865,28xBOkcWeZlzRvygSd19Ra,4.68e-06,0.34,-4.42,0.283,155.003,0.628,rap
0.000204,0.437,1.0,7z3eNgQXr09CIPtgYqaSLb,0.891,0.208,-4.082,0.171,157.984,0.113,rap
0.000204,0.437,1.0,7z3eNgQXr09CIPtgYqaSLb,0.891,0.208,-4.082,0.171,157.984,0.113,pop
0.00833,0.726,0.724,6legHQSlQpogAdMANMHEHh,0.895,0.342,-6.556,0.0699,177.991,0.683,rap
0.00833,0.726,0.724,6legHQSlQpogAdMANMHEHh,0.895,0.342,-6.556,0.0699,177.991,0.683,jazz
0.00379,0.702,0.448,3qc4Z614ESAfcb05X9uoIN,0.655,0.0731,-9.87,0.1,190.018,0.0635,rap
0.00883,0.836,0.33,4GqotA3zfUMGk1NhfuOk41,0.757,0.114,-7.223,0.0939,129.987,0.224,rap
0.755,0.601,0.772,19JqBazVRuBK35OHT6iCA2,0.619,0.114,-6.549,0.0932,175.078,0.723,rap
0.755,0.601,0.772,19JqBazVRuBK35OHT6iCA2,0.619,0.114,-6.549,0.0932,175.078,0.723,pop
0.00847,0.756,0.322,3TRxqbTf7Qy0uhsuhiRsFe,0.889,0.11,-11.701,0.406,148.99,0.833,rap
0.96,0.689,0.3,3p9NmLryi2kKqZT6cwKyCh,0.95,0.11,-19.42,0.0484,99.967,0.587,rap
3.98e-06,0.584,0.72,0kXVAyCI1P6cX1owdVGPY5,0.808,0.332,-6.402,0.109,188.472,0.191,rap
0.0431,0.81,0.442,6JTTbos9QhCJueKrpXpyDv,0.046,0.121,-8.755,0.151,94.011,0.11,rap
0.0431,0.81,0.442,6JTTbos9QhCJueKrpXpyDv,0.046,0.121,-8.755,0.151,94.011,0.11,rock
0.132,0.829,0.538,3Zz8HPUHaCsDZNShbjNGQZ,0.0,0.123,-8.828,0.141,145.008,0.737,rap
0.00107,0.834,0.332,4zGIhsUcvUAC8KAceMFBYc,0.916,0.112,-12.726,0.119,159.97,0.374,rap
0.833,0.585,0.237,5TW3AssgIHDxxcEF7DnS6C,0.916,0.109,-13.507,0.0394,80.056,0.323,rap
0.75,0.519,0.171,36eJh4q4kdkdDHn8Yv0HgM,0.929,0.11,-17.075,0.0379,122.103,0.122,rap
0.75,0.519,0.171,36eJh4q4kdkdDHn8Yv0HgM,0.929,0.11,-17.075,0.0379,122.103,0.122,jazz
0.75,0.519,0.171,36eJh4q4kdkdDHn8Yv0HgM,0.929,0.11,-17.075,0.0379,122.103,0.122,pop
0.75,0.519,0.171,36eJh4q4kdkdDHn8Yv0HgM,0.929,0.11,-17.075,0.0379,122.103,0.122,rock
0.896,0.72,0.741,6beB5y8Eg3CbpxjMMcaxdr,8.19e-06,0.146,-7.709,0.227,95.077,0.608,rap
0.00599,0.597,0.789,6pQG8TdOih8RywNcfVOexU,0.825,0.111,-0.16,0.0332,140.064,0.051,rap
5.54e-06,0.288,0.845,7b1JI4FnonYYPWrRyRrbFI,0.0197,0.0564,-1.991,0.0404,172.922,0.598,rap
5.54e-06,0.288,0.845,7b1JI4FnonYYPWrRyRrbFI,0.0197,0.0564,-1.991,0.0404,172.922,0.598,rock
0.371,0.725,0.407,77vobgE3QkLrekIflvpB1M,0.892,0.111,-8.685,0.0312,85.178,0.586,rap
0.223,0.768,0.756,2pOwYpTDUkCQrG4bHWnyTo,0.0,0.0985,-5.762,0.35,150.0,0.4,rap
0.223,0.768,0.756,2pOwYpTDUkCQrG4bHWnyTo,0.0,0.0985,-5.762,0.35,150.0,0.4,pop
0.0501,0.54,0.898,5jHNCiSr0R1k7Fkb4d5YPw,0.0,0.204,-6.252,0.123,86.754,0.683,rap
0.0501,0.54,0.898,5jHNCiSr0R1k7Fkb4d5YPw,0.0,0.204,-6.252,0.123,86.754,0.683,rock
0.443,0.766,0.54,0wbwQHJSdlKShEAcc8OXa0,0.0,0.25,-9.096,0.0995,125.086,0.663,rap
0.527,0.81,0.475,0oX0DFxClGMw7yRwgVLKDG,0.000139,0.208,-10.545,0.299,98.514,0.0909,rap
0.378,0.705,0.523,6FIhZuGimalCiwYmESGsXH,0.771,0.221,-5.629,0.0376,79.998,0.669,rap
0.0329,0.784,0.323,0Sh60bVuZoTn7RyiPGTHKf,0.0777,0.125,-10.225,0.0352,127.231,0.0312,rap
0.0319,0.887,0.752,7dbeTvkOn6CjAJE6NPZChE,2.87e-05,0.126,-6.683,0.0549,160.008,0.548,rap
0.00111,0.582,0.871,6RbsYSvdV1Ad8lOp276ooj,0.151,0.085,-7.986,0.0554,104.972,0.26,rap
0.00111,0.582,0.871,6RbsYSvdV1Ad8lOp276ooj,0.151,0.085,-7.986,0.0554,104.972,0.26,rock
0.0821,0.726,0.899,5DIORgyXYQlTrr9OZ5hYVH,0.0114,0.125,-3.832,0.257,147.933,0.546,rap
0.0821,0.726,0.899,5DIORgyXYQlTrr9OZ5hYVH,0.0114,0.125,-3.832,0.257,147.933,0.546,jazz
0.0821,0.726,0.899,5DIORgyXYQlTrr9OZ5hYVH,0.0114,0.125,-3.832,0.257,147.933,0.546,pop
0.0821,0.726,0.899,5DIORgyXYQlTrr9OZ5hYVH,0.0114,0.125,-3.832,0.257,147.933,0.546,rock
0.000837,0.646,0.32,3lvbkw6w2xOt6s6xHPK4ky,0.854,0.11,-13.316,0.319,81.489,0.39,rap
0.000837,0.646,0.32,3lvbkw6w2xOt6s6xHPK4ky,0.854,0.11,-13.316,0.319,81.489,0.39,pop
0.705,0.304,0.203,4fWbxoj6psgsx6VnoZxucV,0.944,0.106,-16.752,0.0301,98.676,0.237,rap
